Answer,Article File,Article Title,Difficulty From Answerer,Difficulty From Questioner,Question
yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Was Abraham Lincoln the sixteenth President of the United States?
Yes.,S08_set3_a4,Abraham_Lincoln,easy,easy,Was Abraham Lincoln the sixteenth President of the United States?
yes,S08_set3_a4,Abraham_Lincoln,medium,easy,Did Lincoln sign the National Banking Act of 1863?
Yes.,S08_set3_a4,Abraham_Lincoln,easy,easy,Did Lincoln sign the National Banking Act of 1863?
no,S08_set3_a4,Abraham_Lincoln,medium,easy,Did his mother die of pneumonia?
No.,S08_set3_a4,Abraham_Lincoln,easy,easy,Did his mother die of pneumonia?
18 months,S08_set3_a4,Abraham_Lincoln,easy,medium,How many long was Lincoln's formal education?
18 months.,S08_set3_a4,Abraham_Lincoln,medium,medium,How many long was Lincoln's formal education?
1832,S08_set3_a4,Abraham_Lincoln,easy,medium,When did Lincoln begin his political career?
1832.,S08_set3_a4,Abraham_Lincoln,medium,medium,When did Lincoln begin his political career?
"the United States Note, the first paper currency in United States history",S08_set3_a4,Abraham_Lincoln,easy,medium,What did The Legal Tender Act of 1862 establish?
"The United States Note, the first paper currency in United States history.",S08_set3_a4,Abraham_Lincoln,medium,medium,What did The Legal Tender Act of 1862 establish?
11-year-old Grace Bedell,S08_set3_a4,Abraham_Lincoln,medium,hard,Who suggested Lincoln grow a beard?
Grace Bedell.,S08_set3_a4,Abraham_Lincoln,medium,hard,Who suggested Lincoln grow a beard?
1776,S08_set3_a4,Abraham_Lincoln,hard,hard,When did the Gettysburg address argue that America was born?
1776.,S08_set3_a4,Abraham_Lincoln,hard,hard,When did the Gettysburg address argue that America was born?
yes,S08_set3_a4,Abraham_Lincoln,medium,hard,Did Lincoln beat John C. Breckinridge in the 1860 election?
Yes.,S08_set3_a4,Abraham_Lincoln,hard,hard,Did Lincoln beat John C. Breckinridge in the 1860 election?
No,S08_set3_a4,Abraham_Lincoln,easy,easy,Was Abraham Lincoln the first President of the United States?
No,S08_set3_a4,Abraham_Lincoln,medium,easy,Was Abraham Lincoln the first President of the United States?
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Did Lincoln start his political career in 1832?
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Did Lincoln start his political career in 1832?
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Did Lincoln ever represent Alton & Sangamon Railroad?
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Did Lincoln ever represent Alton & Sangamon Railroad?
Hardin County,S08_set3_a4,Abraham_Lincoln,medium,medium,Which county was Lincoln born in?
"Southeast Hardin County, Kentucky",S08_set3_a4,Abraham_Lincoln,medium,medium,Which county was Lincoln born in?
"March 4, 1861",S08_set3_a4,Abraham_Lincoln,hard,medium,When did Lincoln first serve as President?
"March 4, 1861",S08_set3_a4,Abraham_Lincoln,medium,medium,When did Lincoln first serve as President?
John Wilkes Booth,S08_set3_a4,Abraham_Lincoln,hard,medium,Who assassinated Lincoln?
John Wilkes Booth,S08_set3_a4,Abraham_Lincoln,hard,medium,Who assassinated Lincoln?
Yes,S08_set3_a4,Abraham_Lincoln,hard,hard,Did Lincoln win the election of 1860?
Yes,S08_set3_a4,Abraham_Lincoln,too hard,hard,Did Lincoln win the election of 1860?
General McClellan,S08_set3_a4,Abraham_Lincoln,medium,hard,Who was the general in charge at the Battle of Antietam?
John Alexander McClernand,S08_set3_a4,Abraham_Lincoln,medium,hard,Who was the general in charge at the Battle of Antietam?
To free slaves,S08_set3_a4,Abraham_Lincoln,hard,hard,Why did Lincoln issue the Emancipation Proclamation?
"The goal was to weaken the rebellion, which was led and controlled by slave owners.",S08_set3_a4,Abraham_Lincoln,hard,hard,Why did Lincoln issue the Emancipation Proclamation?
,S08_set3_a4,Abraham_Lincoln,,easy,Do scholars rank lincoln among the top three presidents?
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Do scholars rank lincoln among the top three presidents?
,S08_set3_a4,Abraham_Lincoln,,easy,Did lincoln have 18 months of schooling?
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Did lincoln have 18 months of schooling?
,S08_set3_a4,Abraham_Lincoln,,easy,Was Lincoln chosen as a presidential candidate in 1860?
